OBJECTID,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,SHAPE_Length
106,SCO_2a,SCO_2a,NSWTrains,SCO,Bomaderry to Central and Bondi Junction,South Coast Line,2,,005AA3,FFFFFF,Rail,1.56678221658279
107,SCO_2b,SCO_2b,NSWTrains,SCO,Port Kembla to Central and Bondi Junction,South Coast Line,2,,005AA3,FFFFFF,Rail,0.944816586863133
108,SHL_1a,,,,,,,,,,,2.25988718657447
109,SHL_1b,,,,,,,,,,,2.23064605529713
110,SHL_1c,,,,,,,,,,,2.20570312396972
111,SHL_1d,SHL_1d,NSWTrains,SHL,Central to Campbelltown and Goulburn via East Hills and Sydenham,Southern Highlands Line,2,,00954C,FFFFFF,Rail,2.18468627382379
112,SHL_1e,SHL_1e,NSWTrains,SHL,Campbelltown to Goulburn,Southern Highlands Line,2,,00954C,FFFFFF,Rail,1.71520297479926
113,SHL_2a,,,,,,,,,,,2.25988718657448
114,SHL_2b,,,,,,,,,,,2.23064605529713
115,SHL_2c,,,,,,,,,,,2.20570312396972
116,SHL_2d,SHL_2d,NSWTrains,SHL,Goulburn to Campbelltown and Central via East Hills and Sydenham,Southern Highlands Line,2,,00954C,FFFFFF,Rail,2.18468627382379
117,SHL_2e,SHL_2e,NSWTrains,SHL,Goulburn to Campbelltown,Southern Highlands Line,2,,00954C,FFFFFF,Rail,1.71520297479926
118,T3_1a,T3_1a,SydneyTrains,T3,City Circle to Liverpool via Regents Park,T3 Liverpool & Inner West Line,2,,F37021,FFFFFF,Rail,0.387044589543213
119,T3_1b,,,,,,,,,,,0.387065129880336
120,T3_1c,T3_1c,SydneyTrains,T3,Lidcombe to Liverpool via Regents Park,T3 Liverpool & Inner West Line,2,,F37021,FFFFFF,Rail,0.156673399709678
121,T3_1d,T3_1d,SydneyTrains,T3,Bankstown to Liverpool,T3 Liverpool & Inner West Line,2,,F37021,FFFFFF,Rail,0.216265960447293
122,T3_2a,T3_2a,SydneyTrains,T3,Liverpool to City Circle via Regents Park,T3 Liverpool & Inner West Line,2,,F37021,FFFFFF,Rail,0.387044589543212
123,T3_2b,,,,,,,,,,,0.387065129880336
124,T3_2c,T3_2c,SydneyTrains,T3,Liverpool to Lidcombe via Regents Park,T3 Liverpool & Inner West Line,2,,F37021,FFFFFF,Rail,0.156673399709678
125,T3_2d,T3_2d,SydneyTrains,T3,Liverpool to Bankstown,T3 Liverpool & Inner West Line,2,,F37021,FFFFFF,Rail,0.216265960447293
126,T6_1a,T6_1a,SydneyTrains,T6,Lidcombe to Bankstown,T6 Lidcombe & Bankstown Line,2,,7C3E21,FFFFFF,Rail,0.0780541467605324
127,T6_1b,,,,,,,,,,,0.308425336594067
128,T6_1c,,,,,,,,,,,0.30844587693119
129,T6_2a,T6_2a,SydneyTrains,T6,Bankstown to Lidcombe,T6 Lidcombe & Bankstown Line,2,,7C3E21,FFFFFF,Rail,0.0780541467605324
130,T6_2b,,,,,,,,,,,0.308425336594067
131,T6_2c,,,,,,,,,,,0.30844587693119
132,WST_1a,WST_1a,SydneyTrains,T1,City to Emu Plains,T1 Western Line,2,,F99D1C,FFFFFF,Rail,0.598398413085089
133,WST_1b,WST_1b,SydneyTrains,T1,City to Richmond,T1 Western Line,2,,F99D1C,FFFFFF,Rail,0.607754036043715
134,WST_2c,WST_2c,SydneyTrains,T1,Emu Plains to Berowra via City,T1 Western Line,2,,F99D1C,FFFFFF,Rail,0.947449875445154
135,WST_2d,WST_2d,SydneyTrains,T1,Richmond to Berowra via City,T1 Western Line,2,,F99D1C,FFFFFF,Rail,0.956805498403781
